[2026-01-12 14:03:50] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5500 | Threat Level: 35
[2026-01-12 14:03:50] CRITICAL: Anomaly detected! Cause: CLEAN | Conf: 0.2100 | Threat Level: 32
[2026-01-12 14:03:50] CRITICAL: Anomaly detected! Cause: CLEAN | Conf: 0.2200 | Threat Level: 29
[2026-01-12 14:03:51] CRITICAL: Anomaly detected! Cause: CLEAN | Conf: 0.2300 | Threat Level: 26
[2026-01-12 14:03:51] CRITICAL: Anomaly detected! Cause: CLEAN | Conf: 0.2500 | Threat Level: 23
[2026-01-12 14:04:56] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6500 | Threat Level: 22
[2026-01-12 14:04:56] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6700 | Threat Level: 24
[2026-01-12 14:04:56] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6900 | Threat Level: 26
[2026-01-12 14:04:57] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.7000 | Threat Level: 28
[2026-01-12 14:04:57] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.7000 | Threat Level: 30
[2026-01-12 14:04:57] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6700 | Threat Level: 32
[2026-01-12 14:04:58] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6800 | Threat Level: 34
[2026-01-12 14:04:58] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.7200 | Threat Level: 36
[2026-01-12 14:04:59] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.7200 | Threat Level: 38
[2026-01-12 14:04:59] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.7400 | Threat Level: 40
[2026-01-12 14:04:59] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.7200 | Threat Level: 42
[2026-01-12 14:05:00] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.7300 | Threat Level: 44
[2026-01-12 14:05:00] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6600 | Threat Level: 46
[2026-01-12 14:05:01] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.7000 | Threat Level: 48
[2026-01-12 14:05:01] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6900 | Threat Level: 50
[2026-01-12 14:05:01] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.7300 | Threat Level: 52
[2026-01-12 14:05:02] CRITICAL: Anomaly detected! Cause: CLEAN | Conf: 0.2900 | Threat Level: 49
[2026-01-12 14:05:02] CRITICAL: Anomaly detected! Cause: CLEAN | Conf: 0.2500 | Threat Level: 46
[2026-01-12 14:05:02] CRITICAL: Anomaly detected! Cause: CLEAN | Conf: 0.2900 | Threat Level: 43
[2026-01-12 14:05:03] CRITICAL: Anomaly detected! Cause: CLEAN | Conf: 0.3100 | Threat Level: 40
[2026-01-12 14:05:03] CRITICAL: Anomaly detected! Cause: CLEAN | Conf: 0.2700 | Threat Level: 37
[2026-01-12 14:05:04] CRITICAL: Anomaly detected! Cause: CLEAN | Conf: 0.4600 | Threat Level: 34
[2026-01-12 14:05:04] CRITICAL: Anomaly detected! Cause: CLEAN | Conf: 0.1800 | Threat Level: 31
[2026-01-12 14:05:04] CRITICAL: Anomaly detected! Cause: CLEAN | Conf: 0.1900 | Threat Level: 28
[2026-01-12 14:05:05] CRITICAL: Anomaly detected! Cause: CLEAN | Conf: 0.2600 | Threat Level: 25
[2026-01-12 14:05:05] CRITICAL: Anomaly detected! Cause: CLEAN | Conf: 0.2600 | Threat Level: 22
[2026-01-12 14:05:06] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6000 | Threat Level: 21
[2026-01-12 14:05:07] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5800 | Threat Level: 22
[2026-01-12 14:05:07] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5600 | Threat Level: 23
[2026-01-12 14:05:07] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6200 | Threat Level: 25
[2026-01-12 14:05:08] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5900 | Threat Level: 26
[2026-01-12 14:05:08] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6800 | Threat Level: 28
[2026-01-12 14:05:08] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5300 | Threat Level: 29
[2026-01-12 14:05:09] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5800 | Threat Level: 30
[2026-01-12 14:05:09] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6100 | Threat Level: 32
[2026-01-12 14:05:10] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6600 | Threat Level: 34
[2026-01-12 14:05:10] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6800 | Threat Level: 36
[2026-01-12 14:05:10] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.7100 | Threat Level: 38
[2026-01-12 14:05:11] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5700 | Threat Level: 39
[2026-01-12 14:05:11] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5700 | Threat Level: 40
[2026-01-12 14:05:11] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.7400 | Threat Level: 42
[2026-01-12 14:05:12] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6700 | Threat Level: 44
[2026-01-12 14:05:12] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5700 | Threat Level: 45
[2026-01-12 14:05:13] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6300 | Threat Level: 47
